Locus ID	Gene	Fold Change Expression (Burn vs. Succ.)	P	Fold Change  Expression (Chronic vs. Succ.)	P	KO	COG	COG Category
PA4652	-	1.45	0.59	4.8	0.054	K07347	COG3188	Cell motility and secretion / Intracellular trafficking and secretion
PA4653	-	3.98	0.00088	2.67	0.43	-	COG5430	Function unknown
PA4654	-	1.12	0.83	2.99	0.21	-	COG2814	Carbohydrate transport and metabolism
PA4655	hemH	0.8	0.73	1.55	0.96	K01772	COG0276	Coenzyme metabolism
PA4656	-	0.59	0.15	0.93	0.86	K07071	COG1090	General function prediction only
PA4657	-	2.91	0.0013	2.82	0.32	K06955	COG3380	General function prediction only
PA4658	-	0.42	0.27	0.59	0.67	-	COG3272	Function unknown
PA4659	-	0.49	0.087	0.57	0.86	-	COG0789	Transcription
PA4660	-	0.34	0.0013	0.55	0.16	K01669	COG0415	DNA replication, recombination, and repair
PA4661	pagL	0.73	0.21	0.34	0.0024	K12976	-	-
PA4662	murI	0.29	0.000047	0.2	0.0031	K01776	COG0796	Cell envelope biogenesis, outer membrane
PA4663	moeB	0.27	0.0001	0.34	0.037	K11996	COG0476	Coenzyme metabolism
PA4664	hemK	0.27	0.000027	0.14	0.00063	K02493	COG2890	Translation, ribosomal structure and biogenesis
PA4665	prfA	0.29	0.000086	0.28	0.013	K02835	COG0216	Translation, ribosomal structure and biogenesis
PA4666	hemA	0.37	0.0012	0.3	0.02	K02492	COG0373	Coenzyme metabolism
PA4667	-	0.28	0.000019	0.22	0.00023	-	COG5010	Intracellular trafficking and secretion
PA4668	-	0.36	0.0099	1.93	0.21	K02494	COG3017	Cell envelope biogenesis, outer membrane
PA4669	-	0.34	0.000076	0.08	2.4E-16	K00919	COG1947	Lipid metabolism
PA4670	-	0.31	0.0048	0.09	0.000022	K00948	COG0462	Nucleotide transport and metabolism / Amino acid transport and metabolism
PA4671	-	0.27	0.0000007	0.09	2.1E-17	K02897	COG1825	Translation, ribosomal structure and biogenesis
PA4672	-	0.2	1.3E-09	0.06	1.8E-18	K01056	COG0193	Translation, ribosomal structure and biogenesis
PA4673	-	0.17	1.2E-10	0.3	0.00001	K06942	COG0012	Translation, ribosomal structure and biogenesis
PA4674	-	2.01	0.019	1.44	0.33	-	COG3093	General function prediction only
PA4675	-	0.64	0.22	0.74	0.73	K02014	COG1629	Inorganic ion transport and metabolism
PA4676	-	0.49	0.041	0.39	0.32	K01673	COG0288	Inorganic ion transport and metabolism
PA4677	-	1.45	0.44	1.44	0.78	-	COG4690	Amino acid transport and metabolism
PA4678	rimI	0.78	0.64	0.08	0.016	K03789	COG0456	General function prediction only
PA4679	-	0.73	0.63	0.38	0.56	-	-	-
PA4680	-	2.18	0.31	2.83	0.62	-	-	-
PA4681	-	2.07	0.066	0.7	0.92	-	-	-
PA4682	-	1.85	0.059	1.22	1	-	-	-
PA4683	-	0.53	0.12	0.14	0.00077	-	-	-
PA4684	-	0.39	0.013	0.17	0.019	-	-	-
PA4685	-	1.98	0.6	6.85	0.24	-	-	-
PA4686	-	0.28	0.00002	0.45	0.013	-	-	-
PA4687	hitA	0.57	0.14	0.37	0.15	K02012	COG1840	Inorganic ion transport and metabolism
PA4688	hitB	0.58	0.15	0.52	0.27	K02011	COG1178	Inorganic ion transport and metabolism
PA4689	-	0.76	0.48	0.26	0.00016	K06192	COG3008	General function prediction only
PA4690	-	1.27	0.56	0.27	0.0078	-	-	-
PA4691	-	2	0.12	8.22	0.0023	-	COG2717	Function unknown
PA4692	-	1.74	0.12	9.13	0.0000012	K07147	COG2041	General function prediction only
PA4693	pssA	0.38	0.0027	0.33	0.0083	K17103	COG1183	Lipid metabolism
PA4694	ilvC	0.1	2.2E-11	0.03	9.2E-16	K00053	COG0059	Amino acid transport and metabolism / Coenzyme metabolism
PA4695	ilvH	0.19	1.5E-10	0.04	5.2E-25	K01653	COG0440	Amino acid transport and metabolism
PA4696	ilvI	0.25	0.00000022	0.16	7.2E-09	K01652	COG0028	acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase 
PA4697	-	2.7	0.0056	1.16	0.93	-	-	-
PA4698	-	0.39	0.0052	0.37	0.11	-	COG3098	Function unknown
PA4699	-	0.63	0.32	0.34	0.44	-	-	-
PA4700	mrcB	0.35	0.00037	0.2	0.000013	K05365	COG0744	Cell envelope biogenesis, outer membrane
PA4701	-	0.48	0.015	0.59	0.29	K07028	COG2187	Function unknown
PA4702	-	5.08	0.038	2.33	0.66	-	-	-
PA4703	-	4.72	0.035	1.83	0.74	-	COG3070	Transcription
PA4704	cbpA	7.18	0.00000035	3.1	0.17	-	COG0664	Signal transduction mechanisms
PA4704.1	-	22.56	1.2E-26	12.49	0.031	-	-	-
PA4704.2	-	13	1.1E-18	14.24	0.11	-	-	-
PA4705	-	2.45	0.016	1.22	0.85	-	COG3016	Function unknown
PA4706	-	0.81	0.79	1.15	0.84	K02013	COG4559	Inorganic ion transport and metabolism
PA4707	-	2.07	0.031	12.2	0.00000024	K02015	COG0609	Inorganic ion transport and metabolism
PA4708	phuT	7.37	2.8E-09	8.69	0.0044	K02016	COG4558	Inorganic ion transport and metabolism
PA4709	-	8.32	0.000000042	6.34	0.06	K07225	COG3720	Inorganic ion transport and metabolism
PA4710	phuR	6.28	0.00000098	4.83	0.039	K16087	COG1629	Inorganic ion transport and metabolism
PA4711	-	1	1	0.69	0.74	-	COG2146	Inorganic ion transport and metabolism / General function prediction only
PA4712	-	0.9	0.99	0.99	0.79	-	-	-
PA4713	-	2.02	0.32	1.84	0.68	-	-	-
PA4714	-	3.44	0.0013	1.66	0.79	-	COG3019	General function prediction only
PA4715	-	1.11	0.78	1.03	0.82	K14261	COG0436	Amino acid transport and metabolism
PA4716	-	0.94	0.94	0.78	0.94	K06998	COG0384	General function prediction only
PA4717	-	1.71	0.092	1.1	1	K07054	COG2321	General function prediction only
PA4718	-	0.87	0.72	0.96	0.96	-	COG0342	Intracellular trafficking and secretion
PA4719	-	0.34	0.00067	0.27	0.0079	K06901	COG2252	Nucleotide transport and    metabolism
PA4720	trmA	0.23	0.000001	0.59	0.3	K00557	COG2265	Translation, ribosomal structure and biogenesis
PA4721	-	0.41	0.16	0.56	0.8	K06206	COG1489	General function prediction only
PA4722	-	0.88	0.96	1.83	0.72	-	COG0436	Amino acid transport and metabolism
PA4723	dksA	0.41	0.0037	0.08	3.4E-09	K06204	COG1734	Signal transduction mechanisms
PA4724	-	0.7	0.45	1.36	1	K01894	COG0008	Translation, ribosomal structure and biogenesis
PA4724.1	-	1.14	0.96	0.25	0.24	-	-	-
PA4725	cbrA	0.43	0.0026	0.39	0.014	-	COG0591	Amino acid transport and metabolism / General function prediction only
PA4726	cbrB	0.99	0.84	0.48	0.11	-	COG2204	Signal transduction mechanisms
PA4726.1	-	3.55	0.015	1.87	0.7	-	-	-
PA4726.11	-	0.1	0.00000013	0.23	0.00084	-	-	-
PA4726.2	-	16.08	5.7E-12	6.66	0.13	-	-	-
PA4727	pcnB	0.37	0.00082	0.25	0.00051	K00970	COG0617	Translation, ribosomal structure and biogenesis
PA4728	folK	0.47	0.073	0.4	0.62	K00950	COG0801	Coenzyme metabolism
PA4729	panB	0.35	0.0015	0.27	0.01	K00606	COG0413	Coenzyme metabolism
PA4730	panC	0.39	0.023	0.76	0.61	K01918	COG0414	Coenzyme metabolism
PA4731	panD	0.38	0.02	0.39	0.47	K01579	COG0853	Coenzyme metabolism
PA4732	-	0.47	0.0089	0.38	0.0071	K01810	COG0166	Carbohydrate transport and metabolism
PA4733	acsB	0.89	0.77	1.14	0.91	K01895	COG0365	Lipid metabolism
PA4734	-	0.55	0.21	0.74	0.88	-	COG3662	Function unknown
PA4735	-	1.3	0.55	0.66	0.3	-	-	-
PA4736	-	1.21	0.66	0.5	0.35	-	-	-
PA4737	-	0.67	0.32	0.46	0.89	-	-	-
PA4738	-	5.64	0.22	4.64	0.71	-	COG3237	Function unknown
PA4739	-	6.1	0.15	3.32	0.66	K04065	COG2823	General function prediction only
PA4740	-	0.28	0.0000013	0.16	3.2E-10	K00962	COG1185	Translation, ribosomal structure and biogenesis
PA4741	rpsO	0.16	3.1E-12	0.04	8.2E-28	K02956	COG0184	Translation, ribosomal structure and biogenesis
PA4742	truB	0.25	0.00000032	0.09	2.5E-12	K03177	COG0130	Translation, ribosomal structure and biogenesis
PA4743	rbfA	0.25	0.0000027	0.15	0.0006	K02834	COG0858	Translation, ribosomal structure and biogenesis
PA4744	infB	0.26	0.00000024	0.12	3.3E-13	K02519	COG0532	Translation, ribosomal structure and biogenesis
PA4745	nusA	0.42	0.00081	0.1	1.3E-15	K02600	COG0195	Transcription
PA4746	-	0.37	0.0003	0.2	0.0000015	K09748	COG0779	Function unknown
PA4747	secG	0.25	0.00000011	0.06	7.7E-23	K03075	COG1314	Intracellular trafficking and secretion
PA4748	tpiA	0.33	0.0055	0.09	0.000026	K01803	COG0149	Carbohydrate transport and metabolism
PA4749	glmM	0.5	0.013	0.32	0.0024	K03431	COG1109	Carbohydrate transport and metabolism
PA4750	folP	0.6	0.083	0.42	0.11	K00796	COG0294	Coenzyme metabolism
PA4751	ftsH	0.82	0.54	0.59	0.15	K03798	COG0465	Posttranslational modification, protein turnover, chaperones
PA4752	ftsJ	0.46	0.0039	0.35	0.03	K02427	COG0293	Translation, ribosomal structure and biogenesis
PA4753	-	0.62	0.095	0.18	0.000021	K07574	COG1534	Translation, ribosomal structure and biogenesis
PA4754	-	0.31	0.000031	0.08	2.1E-10	-	-	-
PA4755	greA	0.19	0.000000017	0.17	0.0000038	K03624	COG0782	Function unknown
PA4756	carB	0.17	2.9E-11	0.09	2.2E-16	K01955	COG0458	Amino acid transport and metabolism / Nucleotide transport and metabolism
PA4757	-	0.24	0.0000034	0.25	0.00028	K11250	COG1280	Amino acid transport and metabolism
PA4758	carA	0.2	0.00000096	0.56	0.21	K01956	COG0505	Amino acid transport and metabolism / Nucleotide transport and metabolism
PA4758.1	-	0.96	0.96	0.46	0.16	-	-	-
PA4759	dapB	0.53	0.04	0.91	0.9	K00215	COG0289	Amino acid transport and metabolism
PA4760	dnaJ	0.8	0.5	1.77	0.23	K03686	COG0484	Posttranslational modification, protein turnover, chaperones
PA4761	dnaK	0.99	0.96	2.73	0.0024	K04043	COG0443	Posttranslational modification, protein turnover, chaperones
PA4762	grpE	1.33	0.31	2.39	0.055	K03687	COG0576	Posttranslational modification, protein turnover, chaperones
PA4763	recN	1.85	0.069	0.75	0.67	K03631	COG0497	DNA replication, recombination, and repair
PA4764	-	0.38	0.00049	0.18	0.00000014	K03711	COG0735	Inorganic ion transport and metabolism
PA4765	omlA	0.51	0.032	0.21	0.000056	K06186	COG2913	Cell envelope biogenesis, outer membrane
PA4766	-	0.65	0.5	1.07	0.99	K09801	COG2914	Function unknown
PA4767	-	0.39	0.012	0.14	0.002	-	COG2867	Lipid metabolism
PA4768	smpB	0.36	0.0003	0.13	0.00000046	K03664	COG0691	Posttranslational modification, protein turnover, chaperones
PA4769	-	1.02	0.94	0.32	0.12	K05799	COG2186	Transcription
PA4770	lldP	3.81	0.00024	3.06	0.098	K03303	COG1620	Energy production and conversion
PA4771	lldD	1.83	0.21	1.88	0.67	K00101	COG1304	Coenzyme transport and metabolism
PA4772	-	1.54	0.29	1.58	0.43	K06911	COG0277	Energy production and conversion
PA4773	-	0.61	0.98	5.77	0.18	K01611	COG1586	Amino acid transport and metabolism
PA4774	-	0.56	0.58	4.85	0.062	K00797	COG0421	Amino acid transport and metabolism
PA4775	-	1.59	0.69	2.18	0.56	-	-	-
PA4776	pmrA	1.91	0.25	1.76	0.44	K02483	COG0745	Signal transduction mechanisms / Transcription
PA4777	pmrB	1.62	0.38	4.93	0.037	K07645	COG0642	Signal transduction mechanisms
PA4778	cueR	2.8	0.17	0.61	1	-	COG0789	Transcription
PA4779	-	0.85	0.86	0.78	1	K15268	-	-
PA4780	-	1.52	0.58	0.57	0.3	K07178	COG1718	Signal transduction mechanisms / Cell division and chromosome partitioning
PA4781	-	8.41	0.038	2.2	0.51	K07814	COG3437	Transcription / Signal transduction mechanisms
PA4782	-	0.64	0.92	2.46	0.59	-	-	-
PA4783	-	0.69	0.4	2.63	0.34	-	COG0697	Carbohydrate transport and metabolism / Amino acid transport and metabolism / General function prediction only
PA4784	-	1.45	0.59	1.37	0.55	K03719	COG1522	Transcription
PA4785	-	4.44	0.000075	11.51	0.00012	K00626	COG0183	Lipid metabolism
PA4786	-	2.83	0.2	4.72	0.028	K00059	COG1028	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
PA4787	-	0.41	0.0012	0.38	0.018	-	COG2207	Transcription
PA4788	-	4.96	0.17	9.66	0.32	-	COG2030	Lipid metabolism
PA4789	-	0.64	0.48	0.68	0.72	-	COG1694	General function prediction only
PA4790	-	0.6	0.28	0.39	0.76	K06219	COG2227	Coenzyme metabolism
PA4791	-	1.23	0.93	1.18	1	-	-	-
PA4792	-	4.2	0.000066	3.52	0.27	K01126	COG0584	Energy production and conversion
PA4793	-	2.93	0.002	1.15	0.83	-	-	-
PA4794	-	1.36	0.63	0.69	0.81	-	COG0456	General function prediction only
PA4795	-	0.68	0.47	0.54	0.65	K07092	COG2044	General function prediction only
PA4796	-	0.71	0.44	0.19	0.44	-	COG0509	Amino acid transport and metabolism
PA4797	-	0.56	0.38	0.51	0.7	K07486	COG3547	DNA replication, recombination, and repair
PA4798	-	0.51	0.2	0.32	0.28	-	COG2320	Function unknown
PA4799	-	1.04	0.84	1.43	0.65	-	COG0563	Nucleotide transport and metabolism
PA4800	-	0.46	0.31	0.37	0.7	-	COG2226	Coenzyme metabolism
PA4801	-	0.64	0.6	0.31	0.95	-	-	-
PA4802	-	1.6	0.44	7.21	0.041	-	COG0388	General function prediction only
PA4803	-	0.97	0.86	0.56	0.53	-	-	-
PA4804	-	1.33	0.43	1.64	0.67	-	COG0531	Amino acid transport and metabolism
PA4805	-	7.22	0.00000088	15.3	0.00014	-	COG0161	Coenzyme metabolism
PA4806	-	0.74	0.68	1.63	1	-	COG2771	Transcription
PA4807	selB	4.36	0.024	1.62	0.59	K03833	COG3276	Translation, ribosomal structure and biogenesis
PA4808	selA	0.93	0.8	0.54	0.53	K01042	COG1921	seryl-tRNASer selenium transferase 
PA4809	fdhE	2.24	0.26	1.53	0.81	K02380	COG3058	Posttranslational modification, protein turnover, chaperones
PA4810	fdnI	3.8	0.000039	7.18	0.00013	K00127	COG2864	Energy production and conversion
PA4811	fdnH	2.58	0.017	1.08	0.81	K00124	COG0437	Energy production and conversion
PA4812	fdnG	1.86	0.18	1.14	1	K00123	-	-
PA4813	lipC	4.46	0.0042	9.75	0.041	-	COG1075	General function prediction only
PA4814	-	4.33	0.054	10.03	0.067	K00219	COG1902	Energy production and conversion
PA4815	-	0.33	0.045	0.36	0.69	K09936	COG3238	Function unknown
PA4816	-	0.43	0.073	0.06	0.031	-	-	-
PA4817	-	2.71	0.072	2.63	0.52	K06940	COG0727	General function prediction only
PA4818	-	2.91	0.096	5.81	0.22	-	COG1807	Cell envelope biogenesis, outer membrane
PA4819	-	2.39	0.63	3.49	0.62	-	COG0463	Cell envelope biogenesis, outer membrane
PA4820	-	7.58	0.3	104.31	0.0025	-	-	-
PA4821	-	1	0.85	1.98	0.64	K03327	COG0534	Defense mechanisms
PA4822	-	1.59	0.55	7.89	0.041	K03324	COG1283	Inorganic ion transport and metabolism
PA4823	-	1.34	0.96	1.94	0.62	-	-	-
PA4824	-	4.11	0.069	7.16	0.45	-	-	-
PA4825	mgtA	2.76	0.023	3.71	0.021	K01531	COG0474	Inorganic ion transport and metabolism
PA4826	-	0.36	0.0014	0.26	0.0097	-	-	-
PA4827	-	1.09	0.89	1.28	0.68	K00675	COG2162	Secondary metabolites biosynthesis, transport, and catabolism
PA4828	-	6.28	0.28	2.19	0.57	K08983	COG3556	Function unknown
PA4829	lpd3	3.04	0.0012	7.77	0.00019	K00382	COG1249	Energy production and conversion
PA4830	-	1.86	0.27	2.39	0.45	-	COG2050	Secondary metabolites biosynthesis,    transport, and catabolism
PA4831	-	0.66	0.55	1.06	0.65	-	COG1309	Transcription
PA4832	-	1.05	0.97	4.73	0.24	K07124	COG0300	General function prediction only
PA4833	-	1.72	0.092	1.69	0.43	K11068	COG1272	General function prediction only
PA4834	-	3.72	0.028	19.22	0.00022	-	COG0697	Carbohydrate transport and metabolism / Amino acid transport and metabolism / General function prediction only
PA4835	-	1.22	0.67	6.59	0.014	-	COG4408	Function unknown
PA4836	-	2.4	0.27	29.45	0.000000001	-	-	-
PA4837	-	4.24	0.041	65.24	7.4E-24	K02014	COG1629	Inorganic ion transport and metabolism
PA4838	-	0.93	0.95	6.2	0.041	-	COG3503	Function unknown
PA4839	speA	0.42	0.0028	0.52	0.17	K01585	COG1166	Amino acid transport and metabolism
PA4840	-	0.45	0.065	0.57	0.63	K03113	COG0023	Translation, ribosomal structure and biogenesis
PA4841	-	0.74	0.39	1.15	0.89	-	COG1443	Lipid metabolism
PA4842	-	1.45	0.87	0.79	0.5	-	COG5345	Function unknown
PA4843	-	0.35	0.000086	0.23	0.0000049	-	COG3706	Signal transduction mechanisms
PA4844	-	0.5	0.14	0.54	0.64	-	COG0840	Cell motility and secretion / Signal transduction mechanisms
PA4845	dipZ	0.52	0.082	0.51	0.19	K04084	COG4232	Posttranslational modification, protein turnover, chaperones / Energy production and conversion
PA4846	-	0.25	0.0000023	0.15	0.0000093	K03786	COG0757	Amino acid transport and metabolism
PA4847	accB	0.1	3.9E-11	0.03	5.8E-14	K02160	COG0511	Lipid metabolism
PA4848	accC	0.08	3.3E-12	0.08	1.4E-10	K01961	COG0439	Lipid metabolism
PA4849	-	0.44	0.076	0.34	0.25	-	-	-
PA4850	prmA	0.67	0.37	0.37	0.42	K02687	COG2264	Translation, ribosomal structure and biogenesis
PA4851	-	0.48	0.025	0.42	0.096	-	-	-
PA4852	-	0.33	0.000076	0.23	0.0000031	K05540	COG0042	Translation, ribosomal structure and biogenesis
PA4853	-	0.21	0.0023	0.14	0.0014	K03557	COG2901	Transcription / DNA replication, recombination, and repair
PA4854	purH	0.22	0.000000095	0.15	0.000012	K00602	COG0138	Nucleotide transport and metabolism
PA4855	purD	0.18	3.4E-09	0.17	0.00013	K01945	COG0151	Nucleotide transport and metabolism
PA4856	retS	0.49	0.0079	0.43	0.013	-	COG0642	Signal transduction mechanisms
PA4857	-	1.44	0.56	0.64	0.68	K05595	COG2095	Intracellular trafficking and secretion
PA4858	-	0.4	0.014	0.44	0.53	K11959	COG0683	Amino acid transport and metabolism
PA4859	-	0.18	0.0014	0.99	0.85	K11960	COG0559	Amino acid transport and metabolism
PA4860	-	0.25	0.014	0.25	0.23	K11961	COG4177	Amino acid transport and metabolism
PA4861	-	0.22	0.0091	0.35	0.49	K11962	COG4674	General function prediction only
PA4862	-	0.25	0.0022	0.21	0.11	K11963	COG0410	Amino acid transport and metabolism
PA4863	-	0.91	0.87	1.06	1	-	COG0456	General function prediction only
PA4864	ureD	2.25	0.17	0.7	0.99	K03190	COG0829	Posttranslational modification, protein turnover, chaperones
PA4865	ureA	0.91	0.75	1.93	0.55	K01430	COG0831	Amino acid transport and metabolism
PA4866	-	0.9	0.89	1.1	0.85	K03823	COG1247	Cell envelope biogenesis, outer membrane
PA4867	ureB	0.94	0.89	2.36	1	K01429	COG0832	Amino acid transport and metabolism
PA4868	ureC	0.9	0.84	0.57	0.81	K01428	COG0804	Amino acid transport and metabolism
PA4869	-	1.74	0.23	0.68	1	-	-	-
PA4870	-	1.47	0.78	2.09	0.59	-	COG1734	Signal transduction mechanisms
PA4871	-	1.49	0.54	1.83	0.92	-	-	-
PA4872	-	0.29	0.0017	0.3	0.16	K01003	COG2513	Carbohydrate transport and metabolism
PA4873	-	0.65	0.24	0.34	0.43	K04046	COG0443	Posttranslational modification, protein turnover, chaperones
PA4874	-	1.86	0.78	0.62	0.72	-	-	-
PA4875	-	0.93	0.89	0.9	1	-	COG2258	Function unknown
PA4876	osmE	13.03	0.043	13.5	0.26	K04064	-	-
PA4877	-	13.21	0.0058	40.4	0.17	-	-	-
PA4878	-	0.39	0.63	0.18	0.8	-	COG3708	Function unknown
PA4879	-	2.63	0.17	2.43	0.79	K07290	COG2982	Cell envelope biogenesis, outer membrane
PA4880	-	11.99	0.0011	22.13	0.14	K03594	COG2193	Inorganic ion transport and metabolism
PA4881	-	0.63	0.77	1.8	1	-	-	-
PA4882	-	2.05	0.38	4.61	0.15	K07147	COG2041	General function prediction only
PA4883	-	9.28	0.000035	45.04	6E-10	-	COG4117	Energy production and conversion
PA4884	-	4.13	0.27	37.01	0.08	-	-	-
PA4885	irlR	4.46	0.12	1.88	0.66	K07665	COG0745	Signal transduction mechanisms / Transcription
PA4886	-	14.81	0.014	40.49	1.7E-17	K07644	COG0642	Signal transduction mechanisms
PA4887	-	0.91	0.86	1.3	0.81	-	-	-
PA4888	desB	0.07	5E-15	0.31	0.0063	-	COG3239	Lipid metabolism
PA4889	-	0.16	0.0000022	0.18	0.034	-	COG1018	Energy production and conversion
PA4890	desT	0.34	0.0081	0.27	0.093	-	COG1309	Transcription
PA4891	ureE	0.26	0.0044	0.36	0.69	K03187	COG2371	Posttranslational modification, protein turnover, chaperones
PA4892	ureF	1.27	0.5	23.68	5.5E-11	K03188	COG0830	Posttranslational modification, protein turnover, chaperones
PA4893	ureG	0.58	0.3	0.56	0.84	K03189	COG0378	Posttranslational modification, protein turnover, chaperones / Transcription
PA4894	-	0.32	0.13	0.63	1	K03192	COG2370	Posttranslational modification, protein turnover, chaperones
PA4895	-	9.17	0.11	31.27	0.0029	-	COG3712	Inorganic ion transport and metabolism / Signal transduction mechanisms
PA4896	-	10.93	0.00000045	10.47	0.041	K03088	COG1595	Transcription
PA4897	-	2.7	0.028	4.34	0.1	K16087	COG1629	Inorganic ion transport and metabolism
PA4898	opdK	11.09	5.7E-14	6.9	0.013	-	-	-
PA4899	-	2.16	0.077	4.04	0.13	K00128	COG1012	Energy production and conversion
PA4900	-	3.18	0.071	7.59	0.033	K05548	COG2814	Carbohydrate transport and metabolism
PA4901	mdlC	3.96	0.024	11.49	0.018	K01576	COG0028	acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase 
PA4902	-	1.32	0.47	5.77	0.03	-	COG0583	Transcription
PA4903	-	2.1	0.24	1.98	0.68	-	-	-
PA4904	vanA	1.43	0.64	3.19	0.62	K03862	COG4638	Inorganic ion transport and metabolism / General function prediction only
PA4905	vanB	1.61	0.61	3.44	0.44	K03863	COG1018	Energy production and conversion
PA4906	-	0.48	0.039	0.31	0.077	K11475	COG1802	Transcription
PA4907	-	0.24	0.00026	0.56	0.5	-	COG4221	General function prediction only
PA4908	-	1.95	0.28	4.83	0.19	K01750	COG2423	Amino acid transport and metabolism
PA4909	-	1.29	0.68	3.35	0.53	K01996	COG0410	Amino acid transport and metabolism
PA4910	-	1.2	0.85	0.86	1	K01995	COG0411	Amino acid transport and metabolism
PA4911	-	2.32	0.2	2.96	0.5	K01998	COG4177	Amino acid transport and metabolism
PA4912	-	2.08	0.11	2.57	0.6	K01997	COG0559	Amino acid transport and metabolism
PA4913	-	2.85	0.0064	2.27	0.29	K01999	COG0683	Amino acid transport and metabolism
PA4914	-	1.07	1	0.74	0.77	-	COG0583	Transcription
PA4915	-	4.1	0.000058	1.67	0.55	K03406	COG0840	Cell motility and secretion / Signal transduction mechanisms
PA4916	-	1.25	0.88	0.84	0.91	-	COG1051	Nucleotide transport and metabolism
PA4917	-	0.98	0.68	0.36	0.21	-	COG1057	Coenzyme metabolism
PA4918	-	0.77	0.63	0.36	0.24	K08281	COG1335	Secondary metabolites biosynthesis, transport, and catabolism
PA4919	-	0.82	0.86	0.69	0.98	K00763	COG1488	Coenzyme metabolism
PA4920	nadE	0.88	0.86	0.68	0.59	K01916	COG0171	Coenzyme metabolism
PA4921	-	0.6	0.38	0.64	0.91	-	COG3240	Lipid metabolism / General function prediction only
PA4922	-	0.84	0.47	0.35	0.0075	-	COG3241	Energy production and conversion
PA4923	-	0.39	0.027	0.4	0.36	K06966	COG1611	General function prediction only
PA4924	-	0.78	0.72	0.78	1	-	COG4942	Cell division and chromosome partitioning
PA4925	-	3.44	0.0039	1.14	0.91	K03442	COG0668	Cell envelope biogenesis, outer membrane
PA4926	-	1.33	0.76	1.44	0.99	-	COG1305	Amino acid transport and metabolism
PA4927	-	1.06	0.69	1.75	0.41	-	COG2308	Function unknown
PA4928	-	0.33	0.00011	0.2	0.000023	-	COG1032	Energy production and conversion
PA4929	-	2.23	0.068	1.9	0.45	-	COG2199	Signal    transduction mechanisms
PA4930	-	0.27	0.0026	0.41	0.2	K01775	COG0787	Cell envelope biogenesis, outer membrane
PA4931	dnaB	0.36	0.00081	0.29	0.00077	K02314	COG0305	DNA replication, recombination, and repair
PA4932	rplI	0.21	6.5E-10	0.1	4.4E-16	K02939	COG0359	Translation, ribosomal structure and biogenesis
PA4933	-	0.18	4.8E-11	0.05	1E-22	-	-	-
PA4934	rpsR	0.62	0.072	0.16	1.9E-09	K02963	COG0238	Translation, ribosomal structure and biogenesis
PA4935	rpsF	0.16	5.6E-12	0.08	4.4E-19	K02990	COG0360	Translation, ribosomal structure and biogenesis
PA4936	-	1.05	0.87	0.35	0.092	K03218	COG0566	Translation, ribosomal structure and biogenesis
PA4937	-	0.87	0.44	0.45	0.031	K12573	COG0557	Transcription
PA4938	purA	0.24	0.000000095	0.12	4.2E-12	K01939	COG0104	Nucleotide transport and metabolism
PA4939	-	0.38	0.00047	0.18	0.00000048	K02502	COG3705	Amino acid transport and metabolism
PA4940	-	0.44	0.0038	0.16	0.000033	K09937	COG3242	Function unknown
PA4941	hflC	0.4	0.00056	0.16	0.000000019	K04087	COG0330	Posttranslational modification, protein turnover, chaperones
PA4942	hflK	0.46	0.0026	0.24	0.000014	K04088	COG0330	Posttranslational modification, protein turnover, chaperones
PA4943	-	0.95	0.68	0.36	0.0042	K03665	COG2262	General function prediction only
PA4944	-	0.8	0.3	0.29	0.0008	K03666	COG1923	General function prediction only
PA4945	miaA	1.09	0.9	0.28	0.0001	K00791	COG0324	Translation, ribosomal structure and biogenesis
PA4946	mutL	0.25	0.00000042	0.2	0.0000016	K03572	COG0323	DNA replication, recombination, and repair
PA4947	amiB	0.6	0.1	0.33	0.013	K01448	COG0860	Cell envelope biogenesis, outer membrane
PA4948	-	0.65	0.2	0.49	0.26	K06925	COG0802	General function prediction only
PA4949	-	0.46	0.022	0.31	0.0028	-	COG0063	Carbohydrate transport and metabolism
PA4950	-	0.33	0.0033	0.41	0.23	-	COG1600	Energy production and conversion
PA4951	-	1.13	0.98	0.35	0.013	K13288	COG1949	RNA processing and modification
PA4952	-	0.43	0.0097	0.2	0.0011	K06949	COG1162	General function prediction only
PA4953	motB	0.46	0.013	0.27	0.00034	K02557	COG1360	Cell motility and secretion
PA4954	motA	0.6	0.12	0.35	0.037	K02556	COG1291	Cell motility and secretion
PA4955	-	1.73	0.18	1.44	0.83	-	-	-
PA4956	rhdA	0.38	0.0017	0.43	0.15	K01011	COG2897	Inorganic ion transport and metabolism
PA4957	-	0.4	0.0013	0.26	0.033	K01613	COG0688	Lipid metabolism
PA4958	-	1.23	0.76	0.99	0.86	-	-	-
PA4959	fimX	0.55	0.021	0.22	0.0000058	-	COG2200	Signal    transduction mechanisms
PA4960	-	0.36	0.00055	0.23	0.000054	K01079	COG0560	Amino acid transport and metabolism
PA4961	-	0.38	0.00055	0.22	0.00047	K07186	COG3726	General function prediction only
PA4962	-	0.21	0.00047	0.3	0.22	K07038	COG1988	General function prediction only
PA4963	-	0.74	0.28	0.37	0.002	K09857	COG3009	Function unknown
